"sexe"	"francais"	"maths"	"geographie"	"histoire"	"economie"	"anglais"
"M"	79.9	83.2	86.6	72.7	80.2	76.8
"M"	78.2	69.8	77.5	75.6	74.3	72.5
"M"	76.6	75.2	69.1	64.4	74.7	80.6
"M"	73.3	69.8	72.4	71.4	71.6	73.7
"M"	92.9	83.5	85.9	92.1	85.8	92.4
"M"	93.9	69.3	88.7	91.3	90.3	84.4
"M"	79.2	71.3	81.5	77.8	70.2	77.4
"M"	65.9	63.5	49.6	56.9	63.1	82.8
"M"	71.6	63.2	62.8	64.1	79.8	76.9
"M"	80.2	96.5	82.4	89.4	92.4	84.2
"M"	77.7	75.3	73.4	74.5	77.9	80.9
"M"	73.4	79.6	69.3	71.8	68.3	76.9
"M"	77.9	80.5	67.4	78.5	74.7	82.4
"M"	98.1	93.2	99.7	96.9	97.6	93.6
"M"	75.3	77.1	74.8	82.8	72.8	77.5
"F"	69.3	71.6	69.7	76.5	73.2	72.5
"F"	94.8	89.7	82.5	89.8	92.9	91.5
"F"	65.2	83.7	69.9	73.1	71.3	72.6
"F"	67.5	74.2	70.1	70.2	70.7	68.6
"F"	78	83.5	60.1	79.4	84.5	82.2
"F"	76.9	88.3	62.6	63.2	67	83.7
"F"	73.7	58.2	60.2	58.1	64.9	68.2
"F"	85.8	77.9	80.6	75.9	75.5	86.5
"F"	68	76.1	71.4	71	72.3	75.2
"F"	71	69	75.3	75.4	74.7	74.1
"F"	96.9	84.3	80.8	87.2	73.2	96.3
"F"	47	61.7	52.7	56.2	53.7	60.8
"F"	71.5	78.1	70.8	76	75.4	76.5
"F"	77.4	77.3	76.4	79.1	72.1	75.9
"F"	69.4	74.2	68.7	79.5	88.9	73.5
