"gender"	"english"	"math"	"geography"	"history"	"economics"	"french"
"M"	81	79.7	70.7	75	81.3	79.9
"M"	75.7	78	73.6	76.8	80.8	NA
"M"	73.6	75.3	62.4	77	76.9	76.6
"M"	75.1	71.9	69.4	81.3	68.3	NA
"M"	95.7	86.1	90.1	88.4	88.8	92.9
"M"	90.5	79.9	89.3	NA	90.7	93.9
"M"	73.5	74.4	75.8	69	76.2	79.2
"M"	81.4	75.2	54.9	63.1	60.4	65.9
"M"	74.4	66.1	62.1	74.8	74.3	71.6
"M"	84.7	89.7	87.4	82.5	92.2	80.2
"M"	84.1	89.9	72.5	75.2	77.8	77.7
"M"	72.4	73.8	69.8	73.5	74.1	73.4
"M"	83.1	83.2	76.5	81	81.4	77.9
"M"	91.1	90.9	94.9	97.6	91.6	98.1
"M"	75.8	72.9	80.8	71.5	67.3	NA
"F"	78.1	77.4	74.5	71.5	70.6	69.3
"F"	93.2	86.6	87.8	87.8	86.4	94.8
"F"	74.8	75.4	71.1	74.9	78	65.2
"F"	69.3	70.4	NA	71.5	70.7	67.5
"F"	78.6	87.9	77.4	70.8	NA	78
"F"	82.2	81.7	61.2	79.6	81.3	76.9
"F"	86.1	66.6	56.1	54.2	68.3	73.7
"F"	77.1	76	73.9	76.2	80	NA
"F"	65.9	80.9	69	79.8	75.3	68
"F"	74.7	70.7	73.4	79.6	62.9	71
"F"	89.6	78.3	NA	85.4	78.9	96.9
"F"	55.9	60.8	54.2	52.5	64.7	47
"F"	70.4	79.1	74	72.6	78.2	71.5
"F"	79.3	77.5	77.1	NA	84	77.4
"F"	74.7	81.2	77.5	74.5	73.1	69.4
