item	keyword	context
title.freq	Frequencies	main heading
title.freq.weighted	Weighted Frequencies	main heading
title.ctable	Cross-Tabulation	main heading
title.ctable.weighted	Weighted Cross-Tabulation	main heading
title.ctable.row	Row Proportions	main heading
title.ctable.col	Column Proportions	main heading
title.ctable.tot	Total Proportions	main heading
title.descr	Descriptive Statistics	main heading
title.descr.weighted	Weighted Descriptive Statistics	main heading
title.dfSummary	Data Frame Summary	main heading
n	N	heading label
dimensions	Dimensions	heading label (dfSummary)
duplicates	Duplicates	heading label (dfSummary)
data.frame	Data Frame	heading label (all functions)
label	Label	heading label (all functions) & column name (dfSummary)
variable	Variable	heading label (all functions) & column name (dfSummary)
group	Group	heading label (all functions when used with byst() / by()
by	by	heading label (descr when used with byst() / by()
weights	Weights	heading label (descr & freq)
type	Type	heading label (freq)
logical	Logical	heading value for type (freq)
character	Character	heading value for type (freq)
numeric	Numeric	heading value for type (freq)
factor	Factor	heading value for type (freq)
factor.ordered	Ordered Factor	heading value for type (freq)
date	Date	heading value for type (freq)
datetime	Datetime	heading value for type (freq)
freq	Freq	column name (freq)
pct	%	column name (freq - when report.nas=FALSE)
pct.valid.f	% Valid	column name (freq)
pct.valid.cum	% Valid Cum.	column name (freq)
pct.total	% Total	column name (freq)
pct.total.cum	% Total Cum.	column name (freq)
pct.cum	% Cum.	column name (freq)
valid	Valid	column name (freq & dfSummary) & column content (dfSummary)
invalid	Invalid	column content (dfSummary for emails)
total	Total	column grouping in html (freq)
mean	Mean	row name (descr)
sd.long	Std.Dev	row name (descr)
sd	sd	cell content (dfSummary)
min	Min	row name (descr)
q1	Q1	row name (descr) - 1st quartile
med	Median	row name (descr)
q3	Q3	row name (descr) - 3rd quartile
max	Max	row name (descr)
mad	MAD	row name (descr) - Median Absolute Deviation
iqr	IQR	row name (descr) - Inter-Quartile Range
cv	CV	row name (descr) - Coefficient of Variation
skewness	Skewness	row name (descr)
se.skewness	SE.Skewness	row name (descr) - Std. Error for Skewness
kurtosis	Kurtosis	row name (descr)
n.valid	N.Valid	row name (descr) - Count of non-missing values
pct.valid	Pct.Valid	row name (descr) - % of non-missing values
no	No	column name (dfSummary) - position of column in the d.f.
stats.values	Stats / Values	column name (dfSummary)
freqs.pct.valid	Freqs (% of Valid)	column name (dfSummary)
graph	Graph	column name (dfSummary)
missing	Missing	column name (dfSummary)
distinct.value	distinct value	cell content (dfSummary) - singular form
distinct.values	distinct values	cell content (dfSummary) - plural form
all.nas	All NA's	cell content (dfSummary) - column has only NA's
all.empty.str	All empty strings	cell content (dfSummary) - column has only empty str's
all.empty.str.nas	All empty strings / NA's	cell content (dfSummary) - col. has only NA's and empty str's
no.levels.defined	No levels defined	cell content (dfSummary) - factor has no levels defined
int.sequence	Integer sequence	cell content (dfSummary)
rounded	rounded	cell content (dfSummary) - note appearing in Stats/Values
others	others	cell content (dfSummary) - nbr of values not displayed
codes	codes	cell content (dfSummary) - When UPC codes are detected
mode	mode	cell content (dfSummary) - mode = most frequent value
med.short	med	cell content (dfSummary) - median (shortened)
start	Start	cell content (dfSummary) - earliest date for date-type cols.
end	End	cell content (dfSummary) - latest date for data-type cols.
emails	Emails	cell content (dfSummary)
generated.by	Generated by	footnote content
version	version	footnote content
date.fmt	%Y-%m-%d	footnote - date format (see ?strptime)
